Date,nomcategorie,total_par_cat
2023-05-02,"CHINE ANNEE 2022",7600.47
Date,nomcategorie,total_par_cat
2023-05-02,JJA_1,3491.70
Date,nomcategorie,total_par_cat
2023-05-02,Divers,2799.81
Date,nomcategorie,total_par_cat
2023-05-02,"SANTEX ",2497.80
Date,nomcategorie,total_par_cat
2023-05-02,"STC .1",1590.70
Date,nomcategorie,total_par_cat
2023-05-02,"couleurs fetes ",1373.80
Date,nomcategorie,total_par_cat
2023-05-02,U10,1257.90
Date,nomcategorie,total_par_cat
2023-05-02,HOBI,1243.20
Date,nomcategorie,total_par_cat
2023-05-02,"JJA FD",1198.68
Date,nomcategorie,total_par_cat
2023-05-02,"ARTE REGAL IMPORT S.L",1113.20
Date,nomcategorie,total_par_cat
2023-05-02,ZADVAT,1093.80
Date,nomcategorie,total_par_cat
2023-05-02,fete,1073.50
Date,nomcategorie,total_par_cat
2023-05-02,MAXI,1003.20
Date,nomcategorie,total_par_cat
2023-05-02,"Chine Janvier 2021",1001.48
Date,nomcategorie,total_par_cat
2023-05-02,"PLASTIQUE FORTE",904.10
Date,nomcategorie,total_par_cat
2023-05-02,"SUD IMPORT",890.80
Date,nomcategorie,total_par_cat
2023-05-02,HOBI,825.10
Date,nomcategorie,total_par_cat
2023-05-02,CMP,697.80
Date,nomcategorie,total_par_cat
2023-05-02,"Les Cotillons d'alsace ",559.20
Date,nomcategorie,total_par_cat
2023-05-02,"BELLEVIE FD",387.80
Date,nomcategorie,total_par_cat
2023-05-02,"Rayon dragée",352.65
Date,nomcategorie,total_par_cat
2023-05-02,"jouet chine",331.90
Date,nomcategorie,total_par_cat
2023-05-02,"ARTE REGAL IMPORT FD ",293.89
Date,nomcategorie,total_par_cat
2023-05-02,"KMT FD ",269.75
Date,nomcategorie,total_par_cat
2023-05-02,"OUT OF THE BLUE",245.80
Date,nomcategorie,total_par_cat
2023-05-02,Bazar,244.20
Date,nomcategorie,total_par_cat
2023-05-02,"CMP FD",234.80
Date,nomcategorie,total_par_cat
2023-05-02,"U10 FD ",222.40
Date,nomcategorie,total_par_cat
2023-05-02,"STC FD",218.80
Date,nomcategorie,total_par_cat
2023-05-02,Decoration,209.05
Date,nomcategorie,total_par_cat
2023-05-02,FESTIVITE,201.10
Date,nomcategorie,total_par_cat
2023-05-02,"CHINE 2022 FD ",199.64
Date,nomcategorie,total_par_cat
2023-05-02,"Jouet 2019/2021",185.70
Date,nomcategorie,total_par_cat
2023-05-02,"CANAL FETES ",180.50
Date,nomcategorie,total_par_cat
2023-05-02,"sarl wz ",160.70
Date,nomcategorie,total_par_cat
2023-05-02,"Fetez moi",138.60
Date,nomcategorie,total_par_cat
2023-05-02,ALIMENTATION,122.00
Date,nomcategorie,total_par_cat
2023-05-02,baptem,116.30
Date,nomcategorie,total_par_cat
2023-05-02,"sarl mornay",112.40
Date,nomcategorie,total_par_cat
2023-05-02,"MLCO FD ",105.30
Date,nomcategorie,total_par_cat
2023-05-02,"SARL MIAO",103.30
Date,nomcategorie,total_par_cat
2023-05-02,"*Av. sur salaire       ",99.25
Date,nomcategorie,total_par_cat
2023-05-02,MOLLA/SIM,97.30
Date,nomcategorie,total_par_cat
2023-05-02,ATOM,93.40
Date,nomcategorie,total_par_cat
2023-05-02,"FOMAX DECO NOEL ",93.00
Date,nomcategorie,total_par_cat
2023-05-02,"decoration noel",87.94
Date,nomcategorie,total_par_cat
2023-05-02,"FLEUR ",83.50
Date,nomcategorie,total_par_cat
2023-05-02,JOUET,81.60
Date,nomcategorie,total_par_cat
2023-05-02,"PRESTIGE FD ",71.80
Date,nomcategorie,total_par_cat
2023-05-02,"Communion / Confirmation",71.10
Date,nomcategorie,total_par_cat
2023-05-02,"plastique forte gp ",70.40
Date,nomcategorie,total_par_cat
2023-05-02,IPA,69.70
Date,nomcategorie,total_par_cat
2023-05-02,"SARL MORNAY",69.30
Date,nomcategorie,total_par_cat
2023-05-02,"Kmt Style",69.15
Date,nomcategorie,total_par_cat
2023-05-02,"Chine Janvier 2021 FD",67.95
Date,nomcategorie,total_par_cat
2023-05-02,"HOMEA  FD ",64.70
Date,nomcategorie,total_par_cat
2023-05-02,"SIREDIX ",61.90
Date,nomcategorie,total_par_cat
2023-05-02,"LIX SRLS (PARTY TIME)",59.00
Date,nomcategorie,total_par_cat
2023-05-02,"Chine Oct 2022",55.00
Date,nomcategorie,total_par_cat
2023-05-02,CUISINE,54.70
Date,nomcategorie,total_par_cat
2023-05-02,"GUIRLANDE LED A PILE",49.60
Date,nomcategorie,total_par_cat
2023-05-02,ventilateur,45.90
Date,nomcategorie,total_par_cat
2023-05-02,"bougeoir ",40.11
Date,nomcategorie,total_par_cat
2023-05-02,"double dragon",39.20
Date,nomcategorie,total_par_cat
2023-05-02,"COULEURS FETES FD",37.90
Date,nomcategorie,total_par_cat
2023-05-02,Conserves,35.00
Date,nomcategorie,total_par_cat
2023-05-02,"Boisson non alcoolisée",33.50
Date,nomcategorie,total_par_cat
2023-05-02,"deco noel ",33.00
Date,nomcategorie,total_par_cat
2023-05-02,"HOBI NOEL FD",32.60
Date,nomcategorie,total_par_cat
2023-05-02,DISTRICOS,31.10
Date,nomcategorie,total_par_cat
2023-05-02,"new eyem 1",25.40
Date,nomcategorie,total_par_cat
2023-05-02,-F,25.10
