id	cheque	espece	cb	total	total_euro_du
192	0.00	38.70	0.00	50.00	38.70
193	0.00	5.80	0.00	5.80	5.80
196	0.00	8.70	0.00	50.00	8.70
197	0.00	8.70	0.00	50.00	8.70
198	0.00	3.90	0.00	3.90	3.90
199	0.00	10.80	0.00	20.00	10.80
202	0.00	6.80	0.00	10.00	6.80
203	0.00	15.50	0.00	20.00	15.50
205	0.00	19.90	0.00	50.00	19.90
209	0.00	14.70	0.00	20.00	14.70
210	0.00	0.20	0.00	0.20	0.20
211	0.00	18.60	0.00	20.00	18.60
214	0.00	1.00	0.00	2.00	1.00
215	0.00	16.10	0.00	20.10	16.10
216	0.00	16.10	0.00	20.10	16.10
217	0.00	16.10	0.00	20.10	16.10
218	0.00	16.10	0.00	20.10	16.10
219	0.00	16.10	0.00	20.10	16.10
220	0.00	16.10	0.00	20.10	16.10
221	0.00	16.10	0.00	20.10	16.10
222	0.00	16.10	0.00	20.10	16.10
223	0.00	16.10	0.00	20.10	16.10
224	0.00	16.10	0.00	20.10	16.10
225	0.00	16.10	0.00	20.10	16.10
226	0.00	16.10	0.00	20.10	16.10
227	0.00	16.10	0.00	20.10	16.10
228	0.00	16.10	0.00	20.10	16.10
229	0.00	16.10	0.00	20.10	16.10
230	0.00	16.10	0.00	20.10	16.10
231	0.00	16.10	0.00	20.10	16.10
232	0.00	16.10	0.00	20.10	16.10
233	0.00	16.10	0.00	20.10	16.10
234	0.00	16.10	0.00	20.10	16.10
235	0.00	16.10	0.00	20.10	16.10
236	0.00	16.10	0.00	20.10	16.10
237	0.00	16.10	0.00	20.10	16.10
238	0.00	16.10	0.00	20.10	16.10
239	0.00	16.10	0.00	20.10	16.10
240	0.00	16.10	0.00	20.10	16.10
241	0.00	16.10	0.00	20.10	16.10
242	0.00	16.10	0.00	20.10	16.10
243	0.00	16.10	0.00	20.10	16.10
244	0.00	16.10	0.00	20.10	16.10
245	0.00	16.10	0.00	20.10	16.10
246	0.00	16.10	0.00	20.10	16.10
247	0.00	16.10	0.00	20.10	16.10
248	0.00	16.10	0.00	20.10	16.10
249	0.00	16.10	0.00	20.10	16.10
250	0.00	16.10	0.00	20.10	16.10
251	0.00	16.10	0.00	20.10	16.10
252	0.00	16.10	0.00	20.10	16.10
253	0.00	16.10	0.00	20.10	16.10
254	0.00	16.10	0.00	20.10	16.10
255	0.00	16.10	0.00	20.10	16.10
256	0.00	16.10	0.00	20.10	16.10
257	0.00	16.10	0.00	20.10	16.10
258	0.00	16.10	0.00	20.10	16.10
259	0.00	16.10	0.00	20.10	16.10
260	0.00	16.10	0.00	20.10	16.10
261	0.00	16.10	0.00	20.10	16.10
262	0.00	16.10	0.00	20.10	16.10
263	0.00	16.10	0.00	20.10	16.10
264	0.00	16.10	0.00	20.10	16.10
265	0.00	16.10	0.00	20.10	16.10
266	0.00	16.10	0.00	20.10	16.10
267	0.00	16.10	0.00	20.10	16.10
268	0.00	16.10	0.00	20.10	16.10
269	0.00	16.10	0.00	20.10	16.10
270	0.00	16.10	0.00	20.10	16.10
271	0.00	16.10	0.00	20.10	16.10
272	0.00	16.10	0.00	20.10	16.10
273	0.00	16.10	0.00	20.10	16.10
274	0.00	16.10	0.00	20.10	16.10
275	0.00	16.10	0.00	20.10	16.10
276	0.00	16.10	0.00	20.10	16.10
277	0.00	16.10	0.00	20.10	16.10
278	0.00	16.10	0.00	20.10	16.10
279	0.00	16.10	0.00	20.10	16.10
280	0.00	16.10	0.00	20.10	16.10
281	0.00	16.10	0.00	20.10	16.10
282	0.00	16.10	0.00	20.10	16.10
283	0.00	16.10	0.00	20.10	16.10
284	0.00	16.10	0.00	20.10	16.10
285	0.00	16.10	0.00	20.10	16.10
286	0.00	16.10	0.00	20.10	16.10
287	0.00	16.10	0.00	20.10	16.10
288	0.00	16.10	0.00	20.10	16.10
289	0.00	16.10	0.00	20.10	16.10
290	0.00	16.10	0.00	20.10	16.10
291	0.00	16.10	0.00	20.10	16.10
292	0.00	16.10	0.00	20.10	16.10
293	0.00	16.10	0.00	20.10	16.10
294	0.00	16.10	0.00	20.10	16.10
295	0.00	16.10	0.00	20.10	16.10
296	0.00	16.10	0.00	20.10	16.10
297	0.00	16.10	0.00	20.10	16.10
298	0.00	16.10	0.00	20.10	16.10
299	0.00	16.10	0.00	20.10	16.10
300	0.00	16.10	0.00	20.10	16.10
301	0.00	16.10	0.00	20.10	16.10
302	0.00	16.10	0.00	20.10	16.10
303	0.00	16.10	0.00	20.10	16.10
304	0.00	16.10	0.00	20.10	16.10
305	0.00	16.10	0.00	20.10	16.10
306	0.00	16.10	0.00	20.10	16.10
307	0.00	16.10	0.00	20.10	16.10
308	0.00	16.10	0.00	20.10	16.10
309	0.00	16.10	0.00	20.10	16.10
310	0.00	16.10	0.00	20.10	16.10
311	0.00	16.10	0.00	20.10	16.10
312	0.00	16.10	0.00	20.10	16.10
313	0.00	16.10	0.00	20.10	16.10
314	0.00	16.10	0.00	20.10	16.10
315	0.00	16.10	0.00	20.10	16.10
316	0.00	16.10	0.00	20.10	16.10
317	0.00	16.10	0.00	20.10	16.10
318	0.00	16.10	0.00	20.10	16.10
